Ciudad,País,avg strength,weight,Degree,Weighted Degree,Excentricidad,Clustering,Diámetro,Radio,Camino más corto promedio,Transitividad,Eficiencia Global,Small Worldness,Rich Club Coefficient,Core Ratio,Central Point Dominance,Spectral radius,Modularidad
CABA,Argentina,3.2446327499999996,1.4815789473684209,4.385964912280702,14.017543859649123,4.798245614035087,0.14879081140350878,6,3,3.355668907952701,0.10739164086687307,0.32577285725335,1.0064805035612747,0.8666666666666667,0.4956140350877193,0.251,1.868,0.915
CDMX,México,3.477387690344482,1.3886287625418052,3.6588628762541804,12.963210702341136,5.622073578595318,0.0759400702341137,7,4,3.82031828690714,0.05,0.28932026537809863,0.6149725449451627,0.3611111111111111,0.4214046822742475,0.202,1.91,0.909
Santiago,Chile,3.4172109794871792,1.4625641025641019,3.948717948717949,13.764102564102565,5.041025641025641,0.1340367487179487,6,3,3.227544277028813,0.10074358359318782,0.3388888888889442,1.0518599813264755,1.0,0.4307692307692308,0.525,1.89,0.909
Montevideo,Uruguay,3.227742045454545,2.749494949494955,7.747474747474747,25.939393939393938,4.47979797979798,0.20774660606060608,6,3,3.0811157257857764,0.22452327250358828,0.3608367943394337,1.1975877796443828,1.0,0.5656565656565656,0.179,1.778,0.857
Madrid,España,3.5183867489539753,1.36234309623431,3.790794979079498,12.861924686192468,6.079497907949791,0.12050969874476991,8,5,3.7835167539819277,0.08191653786707882,0.29465342622415475,0.930158535287913,1.0,0.4393305439330544,0.184,1.92,0.907
Sao Paulo,Brasil,3.430668759259259,1.253703703703704,3.3703703703703702,11.694444444444445,6.726851851851852,0.12992756018518517,8,4,4.324031007751938,0.07857142857142857,0.266719012755837,1.0712083183936894,0.2222222222222222,0.4212962962962963,0.237,1.983,0.919
AGS,México,3.5739349512259504,1.7979166666666673,4.854166666666667,17.020833333333332,4.510416666666667,0.19518882291666664,5,3,3.120614035087719,0.1401098901098901,0.3635562865497178,1.1820418932080727,1.0,0.59375,0.314,1.868,0.869
GDL,México,3.5739349512259504,1.8556149732620333,5.06951871657754,17.668449197860962,4.705882352941177,0.16927673262032084,6,3,3.2084986487263527,0.12439193884642112,0.34244436777648135,1.0093135224066523,1.0,0.5401069518716578,0.287,1.804,0.875
Pachuca,México,3.5702593519999994,1.5631999999999997,4.064,13.952,4.496,0.08252073600000001,6,3,3.1623225806451614,0.0955137481910275,0.3511075268817093,0.852531189607657,0.5,0.384,0.401,1.86,0.898
Oaxaca,México,3.9069127516778517,1.883221476510068,4.375838926174497,17.369127516778523,4.456375838926174,0.12145230201342282,5,3,3.3206965354616362,0.10769896193771626,0.33385029324622173,1.1570584178934744,1.0,0.5167785234899329,0.435,1.846,0.896
